name,merchant_id,avg_processed,GMV_all,avg_active_days,total_lost_n_damaged,avg_returned,avg_24,avg_24_48,avg_48,max_processed_date,order_post_30,is_churn,total_complain,max_created_at,solved_at,delta
THE HANGER(CTG),32932,9,4227,4,0,0,1,0,0,2022-04-29,2,0,,,,
Miroshorai Hub KIOSK,39632,2,213,2,0,0,0,1,1,2022-04-28,4,0,,,,
Nabanaz,47338,16,21660,7,0,1,4,1,0,2022-04-27,12,0,,,,
ShopiyoBD,4977,17,11135,6,0,0,4,5,0,2022-04-29,2,0,,,,
Glamour's world by Nasrin,12050,4,437,3,0,0,3,0,0,2022-04-27,1,0,,,,
Kawaii Bits,24260,7,3972,4,0,0,5,1,0,2022-04-28,4,0,,,,
Haya Couture - Simply Elegant,11232,14,9400,4,0,0,6,0,0,2022-04-29,31,0,,,,
Kashpis ambray,59728,2,1110,2,0,0,1,0,0,2022-04-25,0,1,,,,
Shapla Watch,20675,1,700,1,0,0,0,0,0,2022-04-21,4,0,,,,
BR STORE,59941,3,5960,2,0,1,2,0,0,2022-04-16,0,1,,,,
Glow & Go Trading,5274,3,2013,2,0,0,2,1,0,2022-04-24,0,1,,,,
Dress Desire,28314,8,20020,5,0,1,2,1,0,2022-04-23,2,0,,,,
Naynaaz,18602,5,325,4,0,0,5,0,0,2022-04-27,0,1,,,,
"Pet food store,sylhet",27763,3,4603,2,0,0,2,0,0,2022-04-28,0,1,,,,
Modhur Hari,4924,2,1028,2,0,0,0,1,0,2022-04-24,4,0,,,,
khosh bahaar,30122,2,2810,2,0,0,2,0,0,2022-04-29,2,0,,,,
Vintage Revival,37601,12,75078,7,0,0,11,1,0,2022-04-06,0,1,,,,
Kesh Shikhori,31854,22,6832,11,0,0,1,1,2,2022-04-23,14,0,,,,
Arshia's creation,5517,28,204413,14,0,0,0,0,0,2022-04-30,38,0,,,,
Signature by Totoro,21626,2,8000,2,0,0,1,0,0,2022-04-13,0,1,,,,
Variety Cave,32612,2,1685,2,0,0,1,0,0,2022-04-27,0,1,,,,
Maktabah Bookshop,29258,3,1466,3,0,0,1,0,0,2022-04-28,18,0,,,,
Azan Shoppe  ,27583,2,1613,2,0,0,2,0,0,2022-04-29,1,0,,,,
JAYs Wardrobe,34249,7,7522,5,0,0,0,0,0,2022-04-29,2,0,,,,
Wave By Us,39918,2,140,1,0,0,1,0,0,2022-04-29,0,1,,,,
Anjaly,31004,2,90,2,0,0,2,0,0,2022-04-27,6,0,,,,
Rupnator Lifestyle,40905,5,1100,4,0,1,2,2,1,2022-04-25,1,0,,,,
Luxotix,7249,22,23242,13,0,1,10,1,0,2022-04-30,30,0,,,,
Tani's Collection,7617,11,13377,7,0,0,9,1,0,2022-04-30,5,0,,,,
Oleander.bd,44443,1,145,1,0,0,1,0,0,2022-04-22,2,0,,,,
KHOOBSURAT,16140,1,1500,1,0,0,1,0,0,2022-04-25,0,1,,,,
Toki Enterprise (KIOSK),53386,2,85,2,0,0,0,0,1,2022-04-22,0,1,,,,
Olongkar Bari of Sharmin,28658,1,480,1,0,0,1,0,0,2022-04-01,0,1,,,,
Glow_in_mist,4471,14,30397,9,0,0,11,1,0,2022-04-28,17,0,,,,
Balika,10353,12,9590,5,0,1,10,1,1,2022-04-28,6,0,,,,
Dress up with farzana,22179,4,12830,2,0,0,1,1,0,2022-04-26,0,1,,,,
Elite Fashion,50994,1,1100,1,0,0,0,0,0,2022-04-26,2,0,,,,
haya(in bangla font)-haya,12776,5,7090,3,0,0,3,1,0,2022-04-22,0,1,,,,
Pixel Nation BD,47102,4,320,3,0,0,2,0,0,2022-04-29,1,0,,,,
Forever Living Bangladesh,37027,2,968,2,0,0,1,0,0,2022-04-06,0,1,,,,
Dress Den,38919,13,36927,8,0,0,0,0,0,2022-04-26,11,0,,,,
Mister Gadget Boss,56974,1,2125,1,0,0,0,0,0,2022-04-24,0,1,,,,
Smiley Basket,30036,3,3495,2,0,0,2,0,0,2022-04-25,3,0,,,,
BD Women's Corner,26671,10,7290,6,0,1,1,3,2,2022-04-28,6,0,,,,
Nobonya,16259,13,5935,6,0,1,1,1,5,2022-04-29,4,0,,,,
Projapoti Allure,3850,1,950,1,0,0,1,0,0,2022-04-04,0,1,,,,
Moho's Creation,48653,1,780,1,0,0,0,0,0,2022-04-21,0,1,,,,
Classic Fairy,28038,17,8339,9,0,0,10,2,0,2022-04-30,2,0,,,,
Tthrift.bd,33090,3,830,3,0,0,3,1,0,2022-04-17,0,1,,,,
Ayaana fashion,10309,1,910,1,0,0,1,0,0,2022-04-30,0,1,,,,
Dreamy Online Shop,8243,1,1303,1,0,0,0,0,0,2022-04-18,2,0,,,,
Kiddo & Maama,4398,25,69672,11,0,0,19,2,1,2022-04-27,17,0,,,,
Watch Dazzle,29235,1,1563,1,0,0,1,0,0,2022-04-30,0,1,,,,
Ayra,8356,2,133,1,0,0,1,0,0,2022-04-29,2,0,,,,
Antique BD,8537,39,28154,13,0,2,7,2,1,2022-04-27,28,0,,,,
N&A Undergarments,36489,2,1330,2,0,0,2,0,0,2022-04-13,0,1,,,,
Wowian,59512,3,2325,3,0,0,2,0,0,2022-04-26,1,0,,,,
Art Ray Crafts,22736,1,90,1,0,0,0,1,0,2022-04-19,0,1,,,,
A.R. Collection,37355,9,10718,4,0,0,6,1,0,2022-04-28,3,0,,,,
The Attire Affair (1),815,8,2473,4,0,1,6,1,0,2022-04-16,1,0,,,,
Frillipuff,36244,132,61677,20,0,3,86,8,3,2022-04-29,66,0,,,,
Zazzbe,55044,12,11380,7,0,0,1,4,0,2022-04-25,2,0,,,,
AZURE,34406,33,20097,10,0,1,16,3,0,2022-04-29,12,0,,,,
Atlana Fashion,43667,8,8943,5,0,0,3,1,0,2022-04-28,1,0,,,,
Flavure,58310,29,32730,8,0,0,26,2,0,2022-04-14,0,1,,,,
Style wear,21170,20,6146,7,0,0,7,2,1,2022-04-29,59,0,,,,
Inaya's Closet,24134,1,124,1,0,0,1,0,0,2022-04-11,0,1,,,,
R&S Closet,26272,75,68200,9,0,0,44,9,2,2022-04-29,87,0,,,,
Akash DTH(OptionBd.Biz),34092,115,13903,1,1,0,5,2,0,2022-04-04,0,1,,,,
BrittO Lifestyle,2531,46,29599,16,0,1,31,5,1,2022-04-28,42,0,,,,
Sparkly Diva,20390,6,24743,4,0,0,5,1,0,2022-04-22,0,1,,,,
S h a j v a N,54114,23,27179,11,0,1,6,1,0,2022-04-04,0,1,,,,
HashTag Your Choice,44838,27,36990,7,0,0,7,2,0,2022-04-12,0,1,,,,
Outfit Archive,61408,24,9266,4,0,3,8,1,2,2022-04-28,1,0,,,,
Barakah Gallery,32523,20,32705,9,0,1,6,0,0,2022-04-23,2,0,,,,
Birthday Party House,4403,19,14045,12,0,0,13,0,0,2022-04-27,8,0,,,,
Perfye,47517,1,1585,1,0,0,1,0,0,2022-04-21,0,1,,,,
Designers' Hub,6816,8,37745,4,0,0,6,1,0,2022-04-26,0,1,,,,
Iqra Gallery,62890,5,1490,5,0,0,2,0,0,2022-04-28,24,0,,,,
Durbinn,43476,11,1874,8,0,0,4,0,0,2022-04-27,12,0,,,,
Syrah,14489,2,7517,2,0,0,1,0,0,2022-04-09,0,1,,,,
Projapotir Rongin Dana,6093,25,23345,11,0,0,15,1,0,2022-04-25,34,0,,,,
Style & Glam,20669,11,6925,5,0,0,0,2,5,2022-04-26,0,1,,,,
Aesthetic stickers BD,37820,5,1267,4,0,0,4,0,0,2022-04-13,0,1,,,,
Mom and Baby Products,793,2,1107,1,0,0,1,0,0,2022-04-25,1,0,,,,
Abaya & bag house by Athoras closet,60045,106,304028,9,0,6,55,7,2,2022-04-27,12,0,,,,
Sunamgonj hub KIOSK,57622,2,249,2,0,0,1,0,0,2022-04-23,3,0,,,,
Fairy Violet,41884,14,86273,9,0,1,0,0,0,2022-04-28,10,0,,,,
Serene Shadow,34729,2,371,2,0,0,1,1,0,2022-04-16,0,1,,,,
Bismillah shop bd.com,32810,6,8505,4,0,0,0,0,0,2022-04-28,4,0,,,,
Nilambori noor boutiques store,5426,9,6173,5,0,0,5,1,0,2022-04-29,4,0,,,,
Terry BD,52007,55,35713,11,0,7,2,1,0,2022-04-30,54,0,,,,
ZaSha Store,52133,23,12907,9,0,2,7,0,0,2022-04-30,6,0,,,,
Suny Electronic (KIOSK),51741,3,140,2,0,0,0,0,0,2022-04-25,3,0,,,,
Pastel scrunchie studio,34351,10,4149,5,0,0,7,1,0,2022-04-29,20,0,,,,
Shohid Enterprise  (KIOSK),47084,6,430,5,0,0,2,0,0,2022-04-29,1,0,,,,
Pillow Platoon,625,10,9639,4,0,0,7,0,0,2022-04-30,0,1,,,,
Khan vai er China products,23956,27,6550,17,0,0,0,1,0,2022-04-30,24,0,,,,
doctor's apron & ot dress,29875,31,44543,13,0,1,18,3,1,2022-04-24,11,0,,,,
Westerio Official,55637,28,34080,13,0,0,23,3,0,2022-04-29,6,0,,,,
Oniriddho,27577,16,7553,8,0,0,0,2,8,2022-04-23,1,0,,,,
Smart Choice Fashion Wear,51416,3,3640,1,0,1,0,0,0,2022-04-21,0,1,,,,
K-Quest BD,25910,8,3227,5,0,0,6,0,0,2022-04-26,5,0,,,,
Excellento,42332,11,11119,4,0,1,1,0,0,2022-04-27,0,1,,,,
Sport Ex,6890,15,22162,12,0,0,7,0,0,2022-04-29,23,0,,,,
Gunoboti,49161,1,60,1,0,0,1,0,0,2022-04-05,0,1,,,,
Our little Shop,22803,5,2168,4,0,0,2,0,0,2022-04-16,2,0,,,,
Nakshi House Outfits,52630,1,365,1,0,0,0,0,0,2022-04-19,1,0,,,,
Delivery Care,58192,15,7842,3,0,2,2,0,1,2022-04-29,1,0,,,,
M.A Enterprise (C2C),50864,4,387,3,0,0,1,0,0,2022-04-04,0,1,,,,
Fast Mover (Duplicate),31869,2,1587,2,0,0,1,0,0,2022-04-27,6,0,,,,
Fictional comfort,62549,1,410,1,0,0,1,0,0,2022-04-29,0,1,,,,
Nobabi food,39043,53,38505,11,0,6,12,1,1,2022-04-07,0,1,,,,
Bike Gear Rampura,50315,8,27500,7,0,0,1,1,0,2022-04-25,0,1,,,,
Fashion Riviera,11640,32,56182,5,0,0,7,2,0,2022-04-30,59,0,,,,
Nafisa's Food,13554,22,22853,16,0,0,14,0,0,2022-04-26,17,0,,,,
Sleek Style,32527,3,8430,3,0,0,0,1,0,2022-04-27,3,0,,,,
NS Corporation,20528,2,7065,2,0,0,1,0,0,2022-04-19,1,0,,,,
Amaryllis bd,48460,12,8807,5,0,1,9,1,0,2022-04-26,35,0,,,,
Happiness,4393,37,119273,20,0,0,24,2,1,2022-04-30,32,0,,,,
Cronus,6851,4,3576,3,0,0,3,0,0,2022-04-28,3,0,,,,
Online Doctor,32522,23,47300,12,0,0,10,1,0,2022-04-27,32,0,,,,
Afford Anything,38375,5,580,3,0,0,3,1,0,2022-04-24,0,1,,,,
Fahris,14059,2,1028,2,0,0,1,0,0,2022-04-23,1,0,,,,
Choco Flick,60355,10,6615,5,0,1,8,1,0,2022-04-08,0,1,,,,
Splendid Fashion By Bappy,57734,12,17523,7,0,0,6,1,0,2022-04-30,0,1,,,,
"Munni,s World",63916,10,6130,1,0,2,6,0,2,2022-04-17,0,1,,,,
Israt's Closet UK,4964,6,7130,4,0,0,2,0,0,2022-04-20,2,0,,,,
Faisal & Brother's ( kiosk ),59437,1,120,1,0,0,1,0,0,2022-04-26,1,0,,,,
Gadget kicks BD,4381,5,2607,5,0,0,5,0,0,2022-04-29,2,0,,,,
Aura-Easy Shopping,28941,13,11523,8,0,2,2,3,0,2022-04-29,2,0,,,,
Nipa dress house,6884,3,6043,3,0,0,1,0,0,2022-04-26,1,0,,,,
Mithila Shop,53440,2,455,1,0,0,1,1,0,2022-04-03,0,1,,,,
Baby books /toy's shop ctg,15569,2,745,2,0,0,1,0,0,2022-04-11,0,1,,,,
Global Brands Outlet (GBO),50277,16,21935,7,0,0,7,1,0,2022-04-25,3,0,,,,
Black Jewellery World,46134,5,1040,3,0,0,2,0,0,2022-04-30,1,0,,,,
ANUR,11726,6,14313,5,0,0,0,1,3,2022-04-22,1,0,,,,
POST MARK,16298,6,5112,4,0,0,0,1,1,2022-04-19,2,0,,,,
MeghShomudro,62988,1,1370,1,0,0,0,0,0,2022-04-10,0,1,,,,
ALPONAR RONG,23887,4,2700,3,0,1,3,1,0,2022-04-13,0,1,,,,
Azlan closet,38088,1,560,1,0,0,0,0,0,2022-04-25,0,1,,,,
S & S Style,47636,2,3680,1,0,0,2,0,0,2022-04-27,0,1,,,,
Raha enterprise(KIOSK),51803,20,2052,10,0,0,11,0,0,2022-04-27,28,0,,,,
Ana's Belleza,5314,1,630,1,0,0,0,0,0,2022-04-29,3,0,,,,
Riha's Canvas,60258,3,720,3,0,0,1,1,0,2022-04-11,0,1,,,,
Independent Sales Center (KIOSK),55096,11,936,8,0,0,5,0,0,2022-04-25,2,0,,,,
Culttire,29045,4,807,3,0,0,3,0,0,2022-04-24,0,1,,,,
Platinum Fashion World,36598,8,18673,4,0,0,4,0,0,2022-04-25,2,0,,,,
watchography.business,59552,9,10910,7,0,2,4,1,2,2022-04-26,0,1,,,,
New Born Baby Katha Shop,12636,6,9028,5,0,0,4,0,0,2022-04-26,1,0,,,,
Saras closet,14083,4,9685,3,0,0,3,0,0,2022-04-29,13,0,,,,
Mobile Gadgets,36978,2,915,2,0,0,2,0,0,2022-04-04,0,1,,,,
Nazah's closet,59090,2,4600,2,0,0,0,0,0,2022-04-16,0,1,,,,
Proyash,10125,2,1660,1,0,0,0,1,0,2022-04-27,1,0,,,,
Inn's Corner,15576,2,1857,2,0,0,1,0,0,2022-04-25,5,0,,,,
Style fashion house,25908,3,3940,2,0,0,1,0,0,2022-04-29,0,1,,,,
BD Farma,62396,1,860,1,0,0,1,0,0,2022-04-02,0,1,,,,
Circle Art and Craft Supplies BD,2225,34,45904,13,0,1,1,0,0,2022-04-30,40,0,,,,
Samah fashion Zone,6558,7,13657,5,0,1,2,0,0,2022-04-26,0,1,,,,
Light House,27931,6,2760,3,0,1,0,0,0,2022-04-11,0,1,,,,
Tasmiah Fashion Store,4970,3,4680,2,0,0,2,0,0,2022-04-27,3,0,,,,
Organica,26569,1,205,1,0,0,1,0,0,2022-04-25,35,0,,,,
Thegolfhouse,15759,521,34562,6,0,13,397,40,43,2022-04-24,39,0,,,,
Kanon's Collection,39618,4,9410,3,0,0,1,0,0,2022-04-27,3,0,,,,
Craft & Fashion,6410,24,23113,8,0,0,19,2,0,2022-04-28,0,1,,,,
Mi Belleza,54552,1,698,1,0,0,0,0,0,2022-04-25,0,1,,,,
La Divana,32903,7,13255,3,0,0,4,2,0,2022-04-29,11,0,,,,
Rong Bari,7469,3,6730,3,0,0,2,0,0,2022-04-15,0,1,,,,
Beauty P,49432,41,17895,13,0,5,12,1,0,2022-04-28,12,0,,,,
Continental Surgical House 2,29201,1,816,1,0,0,1,0,0,2022-04-25,0,1,,,,
Titly,15491,4,4510,4,0,0,2,0,0,2022-04-25,0,1,,,,
tuli enterprise,53234,11,9573,5,0,0,3,0,0,2022-04-09,0,1,,,,
Kuasha03,36719,4,1698,3,0,0,3,0,0,2022-04-25,0,1,,,,
Avoir,32318,3,865,2,0,0,1,1,0,2022-04-28,0,1,,,,
S A Apparels,778,5,2821,4,0,0,0,0,0,2022-04-29,5,0,,,,
KAFSA,60316,16,8110,7,0,1,12,0,1,2022-04-09,0,1,,,,
Silviaz,25008,3,4250,1,0,0,0,0,0,2022-04-16,0,1,,,,
Online Sari Village,33876,3,1125,3,0,0,0,1,1,2022-04-23,1,0,,,,
Kanti,7622,2,2923,2,0,0,1,0,0,2022-04-20,0,1,,,,
The Arabian Closet,8470,2,2120,2,0,0,1,1,0,2022-04-02,0,1,,,,
New Fashion Cloth Store,7431,3,5075,3,0,0,2,0,0,2022-04-23,0,1,,,,
Westside BD,39732,3,11327,3,0,0,2,0,0,2022-04-15,2,0,,,,
Gorgeous Fashion House,9643,3,6787,2,0,0,2,1,0,2022-04-16,0,1,,,,
Zing By Zohra,35130,2,2440,2,0,0,2,0,0,2022-04-26,4,0,,,,
Rainbow Style,27585,5,4313,4,0,0,5,0,0,2022-04-03,0,1,,,,
M2bd Onlinee,34299,9,35925,4,0,0,1,2,0,2022-04-26,2,0,,,,
Praava Health Bangladesh Limited,23903,4,203,2,0,0,4,1,0,2022-04-12,0,1,,,,
Ashrifa Karuponna,17396,3,4029,3,0,0,0,1,2,2022-04-19,0,1,,,,
Urban Chic,25219,1,115,1,0,0,0,0,0,2022-04-25,0,1,,,,
Maria Online Market,57753,2,2271,2,0,0,2,0,0,2022-04-17,0,1,,,,
Beads & Beyond-attire,5280,3,23090,2,0,0,1,0,0,2022-04-16,0,1,,,,
Kathgolap,9467,1,210,1,0,0,1,0,0,2022-04-21,0,1,,,,
Awesome Outfits,5951,29,48744,15,0,1,0,0,0,2022-04-28,37,0,,,,
Make N Bake,31216,1,120,1,0,0,0,0,0,2022-04-27,4,0,,,,
Nur Roza,48206,12,9760,6,0,1,0,0,2,2022-04-24,0,1,,,,
Masstex,61305,2,470,2,0,0,1,0,0,2022-04-12,0,1,,,,
Kumudini Handicraft,11725,1,4980,1,0,0,1,0,0,2022-04-28,0,1,,,,
shova Telecom (C2C),56649,2,97,2,0,0,1,0,1,2022-04-28,5,0,,,,
Kolpo Boson,30273,1,140,1,0,0,0,0,1,2022-04-26,1,0,,,,
Sunshine boutique,50414,1,1000,1,0,0,1,0,0,2022-04-14,0,1,,,,
Glare Beads,37483,2,2185,2,0,0,1,0,0,2022-04-20,1,0,,,,
Zara's Closet,938,166,180922,5,0,20,70,11,5,2022-04-08,0,1,,,,
Bd Online Shop ctg,42171,35,41270,14,0,2,14,2,1,2022-04-25,3,0,,,,
Pewpew,40635,58,27286,10,0,0,50,3,0,2022-04-26,18,0,,,,
Star Link,10986,7,16017,5,0,0,3,1,0,2022-04-30,37,0,,,,
Western Collection BD,24347,60,70908,14,0,3,25,2,1,2022-04-28,4,0,,,,
Shopping cart,22871,7,3370,3,0,0,4,0,0,2022-04-25,1,0,,,,
Zeenash,2748,11,27628,8,0,0,7,2,1,2022-04-29,1,0,,,,
Ladies fashion world,2141,53,94770,17,0,4,26,2,1,2022-04-30,6,0,,,,
Cover In Colour,54623,103,51175,11,0,4,42,10,2,2022-04-27,169,0,,,,
Allure,3751,1,830,1,0,0,0,0,0,2022-04-15,1,0,,,,
Newface,31185,6,4230,3,0,0,3,1,0,2022-04-28,3,0,,,,
The FAST Bookshop,43612,3,6517,3,0,0,3,0,0,2022-04-13,0,1,,,,
Fashionbd.com,1039,44,48960,9,0,4,0,0,0,2022-04-13,0,1,,,,
Shagotom narsury Gazipur Kaliganj,42605,25,13673,8,0,1,10,2,0,2022-04-10,1,0,,,,
Pharmacist Dunia,12408,21,11290,6,0,0,15,3,0,2022-04-23,14,0,,,,
Vigor Bangladesh,30360,33,51113,16,0,2,6,1,1,2022-04-29,4,0,,,,
Tee Terminal,955,13,13607,8,0,0,10,2,0,2022-04-16,0,1,,,,
Color Me,8544,6,23848,5,0,0,3,1,0,2022-04-24,6,0,,,,
Babyloveee BD,14160,6,4720,5,0,0,4,2,0,2022-04-29,1,0,,,,
Ohona,35180,2,1062,2,0,0,0,0,0,2022-04-06,0,1,,,,
Sultana's makeover,13208,87,96808,24,0,2,63,8,1,2022-04-29,54,0,,,,
Mafin Rahman Couture,59725,7,4615,2,0,0,5,1,0,2022-04-20,0,1,,,,
Embellish by Bristy,19315,8,15300,6,0,0,4,3,1,2022-04-16,0,1,,,,
ORFE FASHION,54834,14,6141,9,0,2,1,0,0,2022-04-28,0,1,,,,
Amin herbal co. ltd.,20627,28,14710,16,0,0,19,1,0,2022-04-27,13,0,,,,
DAMON,52330,6,3585,5,0,0,1,2,0,2022-04-27,2,0,,,,
Ananda Closet,12041,2,1983,2,0,0,2,0,0,2022-04-20,1,0,,,,
Chiffonier Urban fashion house,59914,10,46060,7,0,0,8,1,0,2022-04-25,2,0,,,,
Chittagong Beauty Zone,53472,7,4915,4,0,0,0,0,0,2022-04-27,10,0,,,,
MTF fashion,9219,2,6583,2,0,0,0,0,0,2022-04-12,0,1,,,,
BDJEWELERS,36366,21,13485,8,0,5,1,0,0,2022-04-24,3,0,,,,
Chanar piran,16673,5,5017,3,0,0,4,0,1,2022-04-28,0,1,,,,
kanta watch(KIOSK),51636,4,480,4,0,0,2,0,0,2022-04-21,2,0,,,,
Angoshovha,13363,7,8423,4,0,0,2,0,0,2022-04-25,2,0,,,,
Stylish kids and mom,36082,11,14373,6,0,0,9,1,0,2022-04-30,2,0,,,,
Itselegant,39483,16,65785,8,0,0,9,2,2,2022-04-28,1,0,,,,
Poster Junkies,36611,8,3350,5,0,0,4,2,0,2022-04-22,0,1,,,,
Shaji o Shajai,15591,5,3753,5,0,0,5,0,0,2022-04-29,31,0,,,,
Vintage style,52055,5,25024,3,0,0,4,0,0,2022-04-29,0,1,,,,
Glory Collection(CTG),7370,3,4890,2,0,0,1,1,0,2022-04-23,1,0,,,,
Decant with love,40307,6,1243,4,0,0,6,0,0,2022-04-17,0,1,,,,
THE GENTLEMEN SOCKS,35643,3,1557,3,0,0,2,1,0,2022-04-17,0,1,,,,
Sufi's gallery,42014,2,1540,2,0,0,0,0,0,2022-04-27,0,1,,,,
Zadu,53341,18,17695,10,0,1,5,0,0,2022-04-28,2,0,,,,
Original online BD,49663,2,815,1,0,0,1,0,0,2022-04-23,0,1,,,,
Subahs fashion world,12846,7,5743,5,0,0,3,1,0,2022-04-27,2,0,,,,
Mariyam goldplated jewellery,48766,15,22097,6,0,3,5,0,0,2022-04-26,8,0,,,,
Gopalgonj KIOSK,30985,3,248,3,0,0,0,0,2,2022-04-26,2,0,,,,
Trendy Lifestyle,5304,6,4010,4,0,0,4,0,0,2022-04-25,1,0,,,,
Sottikar Foods,39645,2,4672,2,0,0,1,0,0,2022-04-27,0,1,,,,
Aarshiyaa,29251,26,18176,7,0,2,18,3,1,2022-04-29,8,0,,,,
Allure Beauty Basics,12809,14,5293,5,0,0,1,0,0,2022-04-30,6,0,,,,
Hamza Fashion,42490,2,170,1,0,0,2,0,0,2022-04-21,3,0,,,,
Gorgeous You,54166,3,5142,2,0,0,1,0,1,2022-04-25,0,1,,,,
Mim International,62463,4,3250,3,0,0,0,1,0,2022-04-26,3,0,,,,
Hand craft projects,7150,3,2147,2,0,0,2,0,0,2022-04-25,2,0,,,,
Shilthia's  Coffer,51817,5,4715,4,0,0,0,0,0,2022-04-30,2,0,,,,
Rounderbd.com,45882,2,1998,2,0,0,1,0,0,2022-04-20,1,0,,,,
Laxmipur Hub kiosk,48490,2,144,2,0,0,1,0,0,2022-04-26,4,0,,,,
Art Shop,60139,3,255,3,0,0,0,0,0,2022-04-27,0,1,,,,
Almira,6397,3,935,2,0,1,2,0,1,2022-04-27,0,1,,,,
Shila Collection,4599,2,2725,2,0,0,0,0,0,2022-04-28,0,1,,,,
Spindle trend,57917,2,365,2,0,0,0,0,0,2022-04-09,0,1,,,,
S BELLE,3510,5,1395,3,0,0,3,0,0,2022-04-25,2,0,,,,
Suraiya's Closet,4967,2,1972,2,0,0,1,0,0,2022-04-25,2,0,,,,
eBay Shopping Bangladesh,4883,4,2999,4,0,0,2,0,0,2022-04-28,1,0,,,,
The UK Shop,33127,3,5755,3,0,0,3,1,0,2022-04-02,0,1,,,,
Style Up By Farzana Mithi,31340,11,7005,6,0,1,7,0,1,2022-04-26,0,1,,,,
Guardian Stationary BD,41150,2,1110,2,0,0,2,0,0,2022-04-18,0,1,,,,
Predivo,46649,9,2957,7,0,1,0,0,0,2022-04-24,0,1,,,,
Holud eventz by Sanji,60931,8,7990,6,0,0,1,0,0,2022-04-12,0,1,,,,
Proschad Fashion,55168,9,7525,7,0,1,8,1,0,2022-04-25,0,1,,,,
Nutriark Ltd,23978,18,13303,6,0,0,11,3,0,2022-04-26,5,0,,,,
Fashion collection by Noor,54684,47,91583,20,0,5,10,3,1,2022-04-29,23,0,,,,
Anastyle.Bd,40538,8,3275,4,0,0,6,1,0,2022-04-24,5,0,,,,
MYHCRAFTERIA,18098,6,2209,2,0,0,4,1,0,2022-04-27,9,0,,,,
Cycle city,27245,11,11770,9,0,0,9,1,0,2022-04-27,10,0,,,,
AZM DREAM HOUSE,5270,10,15992,6,0,0,1,0,0,2022-04-25,9,0,,,,
Hello Folk,9558,3,2205,3,0,0,3,0,0,2022-04-19,0,1,,,,
Hidden Pearl,37738,4,2450,4,0,0,2,0,0,2022-04-29,4,0,,,,
Grhinir shopno,60453,5,2215,4,0,0,4,0,0,2022-04-29,0,1,,,,
Fair&Care by Ritz,57828,3,1853,2,0,0,0,0,0,2022-04-19,0,1,,,,
Espoir's,27569,5,1914,3,0,0,3,1,0,2022-04-19,1,0,,,,
OuRoxa Outlet By hridi,33033,2,4298,2,0,0,1,0,0,2022-04-25,1,0,,,,
unique gadgets mymensingh,47364,6,3060,4,0,0,2,0,0,2022-04-26,0,1,,,,
Trailroom fashions ,15782,2,3467,2,0,0,1,0,0,2022-04-27,5,0,,,,
Exclusive Collection.,22412,3,3604,2,0,0,1,0,0,2022-04-16,1,0,,,,
TM Fotwear,14490,2,2682,2,0,0,2,0,0,2022-04-29,2,0,,,,
L'Aurora,14793,8,12160,4,0,0,5,1,0,2022-04-23,0,1,,,,
Jarif & subaj collections,53568,4,2428,3,0,0,0,0,0,2022-04-05,0,1,,,,
Afrin's import,52521,8,4590,4,0,0,4,0,0,2022-04-25,0,1,,,,
Bustan,52174,1,380,1,0,0,1,0,0,2022-04-09,0,1,,,,
Treasured Lobby,40599,6,1163,4,0,0,4,0,0,2022-04-24,9,0,,,,
Touch and take,26750,19,30387,10,0,1,7,1,0,2022-04-27,22,0,,,,
Ushatro,8822,4,3290,3,0,0,2,0,0,2022-04-29,2,0,,,,
Lalbagh Hub KIOSK,32684,8,612,7,0,0,4,1,0,2022-04-29,3,0,,,,
AMSY's Retro Finery,34600,1,1880,1,0,0,0,0,0,2022-04-03,0,1,,,,
AyaaT Collection House,4865,2,3740,2,0,0,2,0,0,2022-04-26,2,0,,,,
Smartbazar (New),2780,2,1294,2,0,0,0,0,0,2022-04-16,1,0,,,,
SPARKING FASHION,57023,2,5762,2,0,0,1,0,0,2022-04-24,0,1,,,,
Maryam Fashion,38662,2,3197,2,0,0,1,0,0,2022-04-28,1,0,,,,
Cliche,4976,1,1927,1,0,0,1,0,0,2022-04-25,4,0,,,,
Guzel Closet,57249,3,4710,3,0,0,2,0,0,2022-04-24,1,0,,,,
Aqua World Shahjahanpur Outlet,62483,4,6890,4,0,0,0,0,0,2022-04-27,1,0,,,,
Freshyta,30838,4,2447,3,0,0,2,1,0,2022-04-24,3,0,,,,
Naari,8519,3,2123,2,0,0,0,0,0,2022-04-19,0,1,,,,
Youth Manner,36487,1,1770,1,0,0,0,0,1,2022-04-30,1,0,,,,
Accessories and More,58506,1,515,1,0,0,1,0,0,2022-04-25,0,1,,,,
Local business,10689,4,10967,3,0,0,1,0,0,2022-04-13,0,1,,,,
E-Mart Ltd,48754,87,121720,10,0,16,22,4,4,2022-04-14,0,1,,,,
omi_ fashion_ story,56892,7,10533,5,0,1,1,1,0,2022-04-27,0,1,,,,
Charupat,20930,9,4238,4,0,0,7,0,1,2022-04-25,0,1,,,,
Spark,38956,3,1735,3,0,0,1,0,0,2022-04-17,0,1,,,,
Arisha's Closet,6478,2,527,1,0,0,1,0,0,2022-04-24,0,1,,,,
bichitra cosmetics,58945,17,17847,7,0,0,0,0,0,2022-04-29,14,0,,,,
Little Bee's Art Studio,52013,7,9270,5,0,0,5,0,0,2022-04-30,5,0,,,,
Probahini,10707,7,12200,4,0,0,4,1,0,2022-04-27,1,0,,,,
